Years,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$,$C_{10}$
2012,0.346447405056765,0.04450393302304416,0.1388088355986142,0.06388980157125278,0.057039874200186094,0.11566205941390166,0.07502689385748196,0.04297727242850714,0.03757741917683973,0.07806650567340725
2013,0.34278542836481785,0.046574767123745454,0.14420119827418026,0.06668130490197736,0.049671588587125504,0.10862763477255415,0.08988459491767958,0.04391205073761986,0.035756745589392167,0.07190468673090783
2014,0.34635762173473006,0.040573051343935566,0.14747765713841587,0.06961007747684192,0.04080039547859087,0.09592163253510537,0.10215447588368284,0.043408565853863934,0.032434542236336676,0.08126198031849687
2015,0.34892545244029693,0.04670288984498565,0.15926414295472396,0.06791428323910194,0.04815337370554842,0.0826391615679563,0.08827307734121076,0.040542066242673154,0.03164819365409443,0.08593735900940846
2016,0.34178335399206367,0.046364406911077564,0.1671029211449718,0.06128467903298056,0.04974676499711587,0.0762778874324824,0.0903292855429275,0.040674265193007764,0.03241862204984615,0.09401781370352671
2017,0.3415916890625995,0.051493682587388435,0.16214593705116068,0.07023024599453458,0.05825586973158909,0.06809241112843284,0.08793969131484379,0.035956417536229364,0.03470316186864122,0.08959089372458048
2018,0.32790310259217853,0.05994620352583724,0.14116045480734524,0.05949543708651848,0.04418997019641742,0.07246945225953597,0.09435093690903482,0.03603239176407271,0.034284490459314865,0.13016756039974475
2019,0.31551001403794443,0.06183285490067364,0.14283461943195602,0.07183217384660076,0.04317811138090621,0.0639584934349926,0.09612732086651002,0.03566011226785449,0.032358974600059605,0.13670732523250223
