Ai,Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
A1,Belgium,4.8,15.6,581.6,5.4,20.4,53.9,18.4,83.33,18.2,12.4
A2,Bulgaria,41.9,9.8,613.5,9.6,36.8,34.6,12.2,63.19,15.2,23.6
A3,Czechia,16,13.6,616.1,5.4,23.9,32,8,82.3,27.1,9.3
A4,Denmark,8.6,18.8,1052.3,3,15.5,47.6,14.9,97.3,18.5,7.8
A5,Germany (until 1990 former territory of the FRG),7.2,26.1,564.8,3.8,17.6,67.2,12.5,95.97,14.7,14.2
A6,Estonia,13.5,8.2,1540.5,3.6,10.7,28.4,13.9,82.87,19.5,7.3
A7,Ireland,2.8,9,961.3,3.2,11.5,40.4,12.6,61.56,17.4,9.7
A8,Greece,29,20.1,627.7,6.8,25.3,18.9,13.5,94.8,17.5,13.8
A9,Spain,5.1,15.2,572.9,3.9,22,36.1,11.5,86.62,14.8,8.7
A10,France,7.7,16.8,835.2,5.1,19.1,44.1,11.1,79.8,17.2,13.9
A11,Croatia,39.9,8.6,670.7,8,35.1,23.6,11.4,36.9,15.7,3
A12,Italy,27.1,12.5,471.5,5.6,29,47.8,16.1,59.6,17.3,12.5
A13,Cyprus,2.8,16.9,977.2,6.2,29.2,16.2,29.3,29.8,19,12.5
A14,Latvia,41.9,14.1,1297.2,7,17.2,24.8,22.8,77.12,17.3,8
A15,Lithuania,23.7,13.2,1053.1,6.8,22.8,48.1,15.7,73.78,8.9,8.2
A16,Luxembourg,8.3,21.6,511.7,4.2,22.5,48.7,17.4,97,17.1,12
A17,Hungary,40.5,11,704.3,6.4,26.5,35,24.8,79.12,30,7.2
A18,Netherlands,4.1,25.6,471.6,3.1,19.2,54.6,13.5,99.5,14.3,15
A19,Austria,15.1,17.9,703.6,4.7,19.1,57.7,11.9,99.75,21.4,10.9
A20,Poland,40.5,12.4,623.9,7.5,32.5,33.8,11.9,73.5,21.5,5.4
A21,Portugal,9.3,23.5,621.2,5.8,18.5,29.1,25.5,84.64,11.5,7.9
A22,Romania,47,19.3,364.8,10,26.6,14,11.1,46.5,22.2,11.3
A23,Slovenia,12.8,13.3,609.2,5,24.8,57.8,22,67.2,13.5,8
A24,Slovakia,36.4,12.8,536.2,5.1,24.2,29.8,6.7,65,25.6,6.2
A25,Finland,6.1,12.5,2458.7,4.3,10,40.5,4.2,85,15.8,6.2
A26,Sweden,13.5,16.9,2343.8,2.5,11.8,46.8,7,95,16.7,13
A27,United Kingdom,3.4,17.3,430.5,2.8,15.6,43.8,17,100,13.3,20.3
,Type,-1,-1,1,-1,-1,1,-1,1,1,-1
