Ai,Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
A1,Belgium,1.6,17.4,537.8,7.4,24.8,53.4,18.7,76.76,20.7,14.5
A2,Bulgaria,44.5,12,468.5,8.2,45.9,25,13.8,53.9,17.9,26.9
A3,Czechia,21.1,14.3,588.4,7.1,27.2,23.2,10.5,78,26,13.2
A4,Denmark,7.2,17.1,1021,3,17.4,42.5,17.6,94.2,20,9.9
A5,Germany (until 1990 former territory of the FRG),6.6,26.1,553.4,4.5,19.8,65.2,13.5,95.41,14.6,12.5
A6,Estonia,14,12.8,1316.1,6.6,12.9,19.1,19.4,81.2,18.6,15.7
A7,Ireland,3.2,9,1015.6,3.5,12.7,36.6,13,58.78,17.2,10.7
A8,Greece,26.5,25.1,576.7,8.9,30,17,14.7,92.03,18.4,20.1
A9,Spain,5.6,15,556,4,24.8,29.8,12,88.7,19.3,10.1
A10,France,8.1,17,840.5,5.6,23.9,37.7,12.8,80.1,14.9,14.7
A11,Croatia,44.4,10.1,670.7,9.2,34,14.7,13.3,36.9,14.2,3.2
A12,Italy,26.1,17.9,458.7,6.3,30.7,38.4,21.4,57.6,21.1,14.9
A13,Cyprus,2.8,25.7,787.8,5.9,36.4,12.5,30,29.8,18.7,15.5
A14,Latvia,36.6,15.4,1126.9,8.7,22.8,14.7,28.2,67.58,23.1,17
A15,Lithuania,19,13.3,803.9,10.1,20.3,23.5,17.6,63.06,8.1,5
A16,Luxembourg,7,17,628.4,6.4,17.8,47.4,17.1,96.1,17,14.4
A17,Hungary,45.3,10.1,680.8,6.1,28.8,25.5,24.7,72.8,32.4,10.4
A18,Netherlands,2.5,24.2,456.9,3.4,21.2,49.4,16.2,99.5,13.4,18.3
A19,Austria,13.9,19.5,695.3,6.3,22.5,57.7,11.8,94.5,21.2,11.7
A20,Poland,46.3,14.2,593.9,9.4,37.4,12,10.5,68.5,23.2,6.3
A21,Portugal,10.1,23.8,601.8,6.8,22.1,26.1,22,55.8,10.5,10.9
A22,Romania,51.6,26.4,355.2,10.2,33.3,14.8,15.5,35.3,21.8,13.7
A23,Slovenia,16.6,13.8,570.6,6.3,25.4,41.9,31.5,53.7,13.3,8.1
A24,Slovakia,38.4,16,515.4,6.5,28.9,13.4,8.8,63.6,22.7,9.6
A25,Finland,6,14.2,2338.2,4.7,11.1,33.3,6,83,15.1,8.6
A26,Sweden,12.9,13.8,2084.2,3,14.1,46.9,7.8,95,16.4,10.6
A27,United Kingdom,7,18.2,430.2,2.8,18.3,42.6,17.2,99.5,13.9,19.7
,Type,-1,-1,1,-1,-1,1,-1,1,1,-1
