Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Belgium,5.7,16,583.5,5.6,18.9,54.7,16.7,84.25,18.7,13.3
Bulgaria,41.1,8.9,623.4,9,30.4,31.5,11.6,64.51,15.3,20.2
Czechia,15.4,14,634.4,5.8,20.3,33.3,7.3,82.6,26.2,7.8
Denmark,10,20.1,1053.8,3.4,16.5,51.5,14.9,97.5,17.3,7.5
Germany (until 1990 former territory of the FRG),7.8,26.1,586.7,3.7,16.1,66.7,12,95.97,15.2,13.1
Estonia,13.9,8.2,1484.4,3.9,10.8,30.8,13.8,83.45,19.9,7.4
Ireland,3.2,8.2,972.7,2.8,12.7,37.4,12.5,61.86,18.2,8.8
Greece,28.7,19.7,710.2,6.4,27.5,21,12.5,94.8,17,16.9
Spain,5.9,14.1,577.5,3.7,19.4,39.3,14.7,86.62,15.4,11.6
France,7.7,17.3,845.1,4.8,17.4,43.9,11.5,79.3,16.8,14.7
Croatia,38.5,8.2,722.5,7.3,30.9,30.2,10.2,36.9,15.8,2.7
Italy,28.3,11.9,484.3,5.3,25.5,51.4,14,59.6,17.9,9.4
Cyprus,2.2,15.4,939,5.9,26,16.3,31.1,29.8,18.5,12.7
Latvia,42.2,13.1,1276.1,6.9,20.2,41,19.3,80.1,17.2,6.1
Lithuania,22.9,13.3,1090.5,6.7,21.9,49.7,14,76.45,9.4,3.2
Luxembourg,7.1,20.2,565.2,3.5,20.3,48.9,15.4,98.1,17.4,11.2
Hungary,20.3,9.7,811.5,6.2,24.4,35.9,22.3,80.26,28.4,5.3
Netherlands,4.8,26.6,456.9,3.4,19.1,56.9,14.7,99.5,14.4,16.3
Austria,15.1,19.5,740.1,4.7,17.4,58.2,9.4,99.78,23,8.4
Poland,37.6,12.6,633.7,7.7,27,34.1,10.8,74.44,19.3,4.4
Portugal,9.5,22.7,689.1,6.7,18.6,28.9,24.4,84.64,11.7,6.7
Romania,45.8,18.2,528.4,9.6,25.6,11.5,9.4,49.4,21.1,9.6
Slovenia,11.6,14.5,625.1,4.9,20.4,58.9,20.6,69,13.4,8
Slovakia,34.1,10.5,631.8,5,21,38.5,5.7,68.1,26.2,5.6
Finland,7.7,12.8,2447.6,3.8,10.2,43.5,4.1,85,16.1,6.4
Sweden,15.6,17,2223,2.2,12.3,46.6,7,95,17.7,13
United Kingdom,4.8,19.8,426.9,2.8,15.3,44.1,17.6,100,12.6,24.2
Type,-1,-1,1,-1,-1,1,-1,1,1,-1
