Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Belgium,2,18.1,537.8,6.6,22.4,53.8,17.5,80.51,19.6,16.2
Bulgaria,43.3,11.7,468.5,9.2,41.2,23.1,13.2,54.77,17.7,26.8
Czechia,19.9,13.7,588.4,6.5,27.8,25.4,9.2,79.8,27.2,13.5
Denmark,8.2,16.4,1021,3.2,18.7,45.4,15,96.3,19.4,9.1
Germany (until 1990 former territory of the FRG),6.6,25.9,553.4,4.2,20.3,65.6,12.3,95.56,14.3,13.1
Estonia,14.2,10.5,1316.1,5.9,15.4,31.3,15.9,83,18.4,12.3
Ireland,4.2,9,1015.6,4.1,14.3,39.8,14.5,59.98,17.7,10.9
Greece,27.4,19.7,576.7,7.3,25.8,15.4,13.7,92.9,18.6,16.1
Spain,5.3,15.9,556,3.6,21,30.8,17.1,84.68,17.3,11.9
France,7.1,16.9,840.5,5.1,18.2,39.7,13.4,78.6,18.4,15.3
Croatia,42.1,8.9,670.7,7.3,29.7,16.5,11.7,36.9,14.9,2.5
Italy,27.2,17.6,458.7,5.6,26.9,41.6,25,57.6,19.2,18
Cyprus,2.2,19.2,787.8,5.3,32.4,14.8,25.5,29.8,18.2,11.9
Latvia,39.8,15.3,1126.9,10.6,23.7,27,27.5,71.21,21,13
Lithuania,28.3,14.4,803.9,9.1,23.4,30.5,18.9,69.39,11.7,4.8
Luxembourg,6.7,19.1,628.4,6.3,20.7,47.7,15,96.6,16.4,16.8
Hungary,41.9,13.8,680.8,6.3,28.2,30.5,26.9,73.5,32.5,13.9
Netherlands,3.5,25,456.9,2.8,21.2,50.9,15.8,99.4,14.5,18.5
Austria,15.3,17.5,695.3,5,21.5,56.3,10,95,21.5,13.4
Poland,44.2,13.4,593.9,8.4,35.1,26.5,9.2,71.4,21.8,6.4
Portugal,10.3,23.6,601.8,6.1,19.3,30.4,32.8,55.8,10.2,11.6
Romania,49.4,23.6,355.2,9.1,24.9,13.1,13.6,38.2,21.5,14.5
Slovenia,14.8,13.2,570.6,5.2,22.5,36,29.9,55.6,13.7,10.1
Slovakia,38.6,14,515.4,5.4,24.5,10.3,7,63.6,22.6,8.7
Finland,7,13,2338.2,4.2,13.7,32.5,5,85,14.8,7
Sweden,12.7,13.2,2084.2,2.8,13.5,49.3,7.7,95,16.5,10.7
United Kingdom,7.3,17.4,430.2,2.9,17.7,43.4,16.6,100,13.9,16.5
Type,-1,-1,1,-1,-1,1,-1,1,1,-1
