Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Belgium,2,17.5,537.8,6.8,25,52.8,18.1,79.13,20.2,19.4
Bulgaria,44.2,11.1,468.5,8.3,43.4,28.5,12.9,54.54,17,25.8
Czechia,21,14.9,588.4,6.2,27.6,24.2,10,79.8,26.4,13.9
Denmark,7.9,15.6,1021,3.4,17.4,43.3,16.6,95.7,20.1,9.2
Germany (until 1990 former territory of the FRG),6.7,26.1,553.4,4.1,20.4,63.8,13.1,95.35,14.2,13.5
Estonia,21.1,10.8,1316.1,6.1,14,17.9,17.5,82.1,19,12.3
Ireland,2.8,9.4,1015.6,4.1,15,36.6,14.3,59.38,16.8,11.9
Greece,27.3,24.2,576.7,8,34.4,15.8,14,92.9,18.7,19
Spain,5.2,18.3,556,3.5,19.9,32.5,16.7,88.7,19.3,14.2
France,7.4,16.2,840.5,5,23.2,38.7,12.8,80.5,18.6,16.8
Croatia,42.8,10,670.7,8.6,34,14.9,13.1,36.9,14.5,2.9
Italy,27.1,18.1,458.7,5.6,30.2,39.4,22.9,57.6,20.3,16
Cyprus,2.4,26.2,787.8,5.1,37.3,13.9,31.1,29.8,18.5,15.3
Latvia,37.7,14.8,1126.9,8.9,21.4,25.9,27.7,69.09,22.7,12
Lithuania,28,14.1,803.9,8.7,23.9,27.8,19.9,64.26,8.6,6.4
Luxembourg,6.2,18.5,628.4,8.3,20.8,46.6,15.3,96.3,17.2,12.9
Hungary,44,12.8,680.8,6,27.3,26.4,26.7,72.68,32.5,12.6
Netherlands,2.6,24.1,456.9,2.8,21.2,49.8,15.6,99.4,14,18.1
Austria,14.7,18.9,695.3,5.4,24.6,57.7,12.5,94.5,21.6,11.3
Poland,44.8,14,593.9,8.8,33.7,15.1,10.1,70.2,22,6.4
Portugal,11.4,22.7,601.8,6.1,22.5,25.8,31.9,55.8,10.6,13.3
Romania,50.6,26.4,355.2,9.3,28.1,13.2,16.2,36.1,21.1,15.7
Slovenia,15.6,12.3,570.6,6.1,24.9,34.8,27,55.2,13.7,9.1
Slovakia,39.8,15.1,515.4,4.6,28.9,10.8,7.5,63.6,22.2,8.9
Finland,6.9,13.4,2338.2,4.7,11.4,32.5,5.2,83,15.1,9
Sweden,13,12.9,2084.2,2.7,14.9,48.2,7.7,95,16.6,10.1
United Kingdom,8,17,430.2,2.8,17.9,43.2,15.9,99.5,13.9,17.4
Type,-1,-1,1,-1,-1,1,-1,1,1,-1
